inferencing,استنتاج
explicit,صریح - واقعیت
amateur,آماتور
astronomer,ستاره‌شناس
stairs,پله‌ها
private,خصوصی
observatory,رصدخانه
adjusted,تنظیم‌شده
projected,تصویرسازی شده - پیشبینی شده
screen,پرده - صفحه
sunspots,لکه‌های خورشیدی
areas,مناطق
appear,ظاهر می‌شوند
slightly,کمی
surrounding,اطراف
patches,تکه‌ها - منطقه‌ها
spectacular,دیدنی
sunspot,لکه خورشیدی
dawn,سپیده دم
dusk ,غروب
displays,نمایش‌ها
auroras,شفق‌های قطبی
central america,آمریکای مرکزی
rocky mountains,کوه‌های سنگی
confused,گیج
campers,اردو زنان
enough,به اندازه کافی
caught fire,آتش گرفتن
observed,مشاهده شده
solar,خورشیدی
solar year,سال شمسی
lunar year ,سال قمری
superstorm,ابرطوفان
massive,عظیم
eruption,فوران - انفجار
surface of,سطح
magnetic,مغناطیسی
hurtling,برخورد کردن - حرکت سریع
damage,آسیب
collided,برخورد کرده
planet,سیاره
field,میدان
currents,جریان‌ها
surge,موج
disrupting,مختل کردن
communication,ارتباطات
occurred,رخ داد
impact,ضربه - اثرگذاری
storm,طوفان
wired,سیمی
event,رویداد
lose,از دست دادن
power,برق
sewage,فاضلاب
treatment,رفتار
heating,گرمایش
air-conditioning,تهویه مطبوع
fuel,سوخت
objects,اشیاء
familiar,آشنا
strange,عجیب
transformed,تبدیل شده
unseen,نامرئی
solid,جامد
liquid,مایع
plasmathe,پلاسما
packed,بسته بندی شده
particles,ذرات
entangled,درهم‌تنیده
be/get entangled with,درگیر شدن با
gigantic,غول‌پیکر
loops,حلقه‌ها
illuminated,روشن
glowing,درخشان
solar flares,شراره‌های خورشیدی
release,آزاد شدن
intense,شدید
squashed,له شده
wind-down,کاهش یافته
altitude,ارتفاع
considerable,قابل توجه
damage,آسیب
especially,به ویژه
loop,حلقه
increasingly,به طور فزاینده‌ای
deployed,مستقر شده
disrupt,مختل
ionosphere,یونوسفر
nearly,تقریباً
flights,پروازها
rely,تکیه کردن
shortwave,موج کوتاه
bouncing,جهنده
beyond,فراتر از
the range of,برد
satellites,ماهواره‌ها
orbiting,در حال چرخش
diverted,منحرف شده
resulting,حاصل
positioning,موقعیت‌یابی
pack up,جمع کردن
oil-drilling,حفاری نفت
rigs,دکل‌ها
trouble,مشکل
employed,به کار گرفته شده - استفاده شده
airfields,فرودگاه‌ها
unlike,برخلاف
grids,شبکه‌ها
protection,حفاظت
grounded,اتصال به زمین
overheat,گرمای بیش از حد
catch fire,آتش گرفتن
explode,منفجر شدن
catastrophic,فاجعه بار
pre-electric,پیش از برق
transmission,انتقال
tower,برج
constantly,دائماً
revealing,آشکار کردن
mere,فقط
merely,فقط
forecasting,پیش بینی
according to,طبق
required,مورد نیاز
whether,آیا
discuss,بحث کنید
following,زیر
motivational,انگیزشی
tips,نکات
choose,انتخاب کردن
gentle,ملایم
diverted,منحرف شده
avert,دفع کردن
convert ,تبدیل کردن
subvert ,برانداز کردن
noiselessly,بی صدا
demand,تقاضا
costs,هزینه ها
entangled,درگیر
troops,سربازان
moved,حرکت کرده
position,موقعیت
hilarious,خنده دار
passage,عبور
disruptive,مخرب
against,علیه
weapons,سلاح ها
catastrophic,فاجعه بار
speech,گفتار - سخنرانی
asteroid,سیاره
allowed,مجاز
deploy,استقرار
missiles,موشک‌ها
climate,آب و هوا
definitions,تعاریف
skill,مهارت
abrupt,ناگهانی
brupt,ناگهانی
bankrupt,ورشکسته
corrupt,فاسد
disruption,اختلال
incorruptible,فسادناپذیر
interrupt,وقفه
rupture,پارگی
junior,تازه کار - جوان
interviewing,مصاحبه
milky way,کهکشان راه شیری
circle,دایره
disk-shaped,دیسک شکل
composed,متشکل
mostly,عمدتاً
enclosing,دربرگیرنده
enormous,عظیم
halo of dark,هاله تاریکی
indeed,در واقع
dozens,ده‌ها
possess,دارای
supply,تامین
elements,عناصر
blocks,بلوک‌ها
essential,ضروری
depiction,تصویر
explodes,منفجر می‌شود
raw,خام
material,ماده
shoots out,بیرون می‌زند - پرت میشود
encounter,برخورد کردن - روبرو شدن
path,مسیر
restrained,مهار شده
strength,قدرت
gravitational,گرانشی
impediments,موانع
speed,سرعت
enrich,غنی‌سازی
generations,نسل‌ها
reside,اقامت
within,در
appearance,ظاهر
absence,غیبت
nevertheless,با این وجود
nonetheless,با این وجود
however,با این حال
but,اما
still,هنوز
yet ,هنوز
decade,دهه
astronomers,ستاره‌شناسان
numerous,متعدد
revelation,وحی - اظهار
sagittarius,قوس - علامت طالع بینی در زودیاک
pronounced,تلفظ شده
revolution,انقلاب
supermassive,ابرپرجرم
hole,سوراخ
firmly,محکم
grip,گرفتن
mass,جرم
swallows,می‌بلعد
voracious,حریص
vacuum,خلاء
victim,قربانی
heated,داغ
feasts,ضیافت‌ها
indicates,نشان می‌دهد
flings,پرت کردن
despite,با وجود
congregate,جمع شدن
life-giving,حیات‌بخش
plentiful,فراوان
newborn,نوزاد
sun-halfway,نیمه راه خورشید
edge,لبه
in contrast,در تضاد
article,مقاله
on the front,در جلو
in a general,به طور کلی
in a brochure,در بروشور
in a training,در آموزش
gravity,جاذبه
surrounds,احاطه می‌کند
author,نویسنده
any time,هر زمان
likelihood,احتمال
opinion,نظر
belong in,تعلق داشتن به
span,طول
bleak,سرد
estimate,تخمین
impediment,مانع
occupy,اشغال کردن
fling,پرت کردن
throw,پرتاب کردن
admission,پذیرش
fulfilled,راضی شده
voracious,حریص
self-esteem,عزت نفس
recklessly,بی‌پروا - بی‌اعتنا
